players,points,minutes,field goals,three pointers,free throws,offensive rebounds,defensive rebounds,rebounds,assists,steals,blocks,turnovers,personal fouls,plus minus
D. Green,18,29,5-11,2-3,6-6,0,3,3,8,3,1,1,0,-6
K. Looney,2,15,1-2,0-0,0-0,5,6,11,5,0,0,0,1,-6
A. Wiggins,8,26,3-9,1-2,1-4,3,2,5,1,0,0,0,1,-5
S. Curry,28,31,8-16,7-11,5-6,0,2,2,4,1,0,6,0,-6
K. Thompson,15,32,5-14,3-9,2-2,2,1,3,2,1,0,2,2,-12
D. Saric,0,13,0-3,0-1,0-0,1,4,5,0,0,0,1,2,-4
J. Kuminga,15,20,5-14,1-4,4-5,1,2,3,0,0,2,1,2,-9
T. Jackson-Davis,5,12,2-3,0-0,1-5,1,3,4,1,1,1,0,4,+8
C. Paul,5,25,2-10,1-5,0-0,0,1,1,2,2,0,0,3,-12
C. Joseph,0,3,0-0,0-0,0-0,0,0,0,0,1,0,0,0,+3
G. Payton II,5,12,2-7,1-3,0-0,2,0,2,1,0,0,0,2,-10
M. Moody,3,14,1-3,0-2,1-2,1,2,3,0,1,0,0,1,-1
B. Podziemski,0,8,0-2,0-1,0-0,1,1,2,2,0,0,2,0,+5
E. Mobley,13,29,6-10,0-1,1-4,5,11,16,2,0,1,5,4,+8
J. Allen,12,28,5-7,0-0,2-2,5,4,9,3,0,0,2,1,+9
D. Garland,24,30,6-17,0-5,12-13,0,3,3,7,0,0,6,3,+15
D. Mitchell,31,34,11-19,5-11,4-4,1,1,2,7,2,0,4,3,+6
M. Strus,15,36,6-13,3-10,0-0,0,4,4,4,1,0,0,3,+4
D. Wade,3,13,1-3,1-3,0-0,1,3,4,0,3,0,0,1,+8
G. Niang,6,25,2-6,2-4,0-0,0,6,6,1,0,0,0,4,+1
T. Thompson,3,11,1-2,0-0,1-3,1,4,5,0,0,1,0,2,+2
D. Jones,0,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-2
C. LeVert,8,32,3-6,0-3,2-2,0,5,5,2,2,0,1,0,+6
S. Merrill,0,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,-2
